Index,Code,Description,Include
0,CNT,Country code 3-character,
1,SUBNATIO,Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID),
2,STRATUM,Stratum ID 7-character (cnt + region ID + original stratum ID),
3,OECD,OECD country,
4,NC,National Centre 6-digit Code,
5,SCHOOLID,School ID 7-digit (region ID + stratum ID + 3-digit school ID),
6,STIDSTD,Student ID,
7,ST01Q01,International Grade,
8,ST02Q01,National Study Programme,
9,ST03Q01,Birth - Month,
10,ST03Q02,Birth -Year,
11,ST04Q01,Gender,
12,ST05Q01,Attend <ISCED 0>,
13,ST06Q01,Age at <ISCED 1>,
14,ST07Q01,Repeat - <ISCED 1>,
15,ST07Q02,Repeat - <ISCED 2>,
16,ST07Q03,Repeat - <ISCED 3>,
17,ST08Q01,Truancy - Late for School,
18,ST09Q01,Truancy - Skip whole school day,
19,ST115Q01,Truancy - Skip classes within school day,
20,ST11Q01,At Home - Mother,
21,ST11Q02,At Home - Father,
22,ST11Q03,At Home - Brothers,
23,ST11Q04,At Home - Sisters,
24,ST11Q05,At Home - Grandparents,
25,ST11Q06,At Home - Others,
26,ST13Q01,Mother<Highest Schooling>,
27,ST14Q01,Mother Qualifications - <ISCED level 6>,
28,ST14Q02,Mother Qualifications - <ISCED level 5A>,
29,ST14Q03,Mother Qualifications - <ISCED level 5B>,
30,ST14Q04,Mother Qualifications - <ISCED level 4>,
31,ST15Q01,Mother Current Job Status,
32,ST17Q01,Father<Highest Schooling>,
33,ST18Q01,Father Qualifications - <ISCED level 6>,
34,ST18Q02,Father Qualifications - <ISCED level 5A>,
35,ST18Q03,Father Qualifications - <ISCED level 5B>,
36,ST18Q04,Father Qualifications - <ISCED level 4>,
37,ST19Q01,Father Current Job Status,
38,ST20Q01,Country of Birth International - Self,
39,ST20Q02,Country of Birth International - Mother,
40,ST20Q03,Country of Birth International - Father,
41,ST21Q01,Age of arrival in <country of test>,
42,ST25Q01,International Language at Home,
43,ST26Q01,Possessions - desk,
44,ST26Q02,Possessions - own room,
45,ST26Q03,Possessions - study place,
46,ST26Q04,Possessions - computer,
47,ST26Q05,Possessions - software,
48,ST26Q06,Possessions - Internet,
49,ST26Q07,Possessions - literature,
50,ST26Q08,Possessions - poetry,
51,ST26Q09,Possessions - art,
52,ST26Q10,Possessions - textbooks,
53,ST26Q11,Possessions - <technical reference books>,
54,ST26Q12,Possessions - dictionary,
55,ST26Q13,Possessions - dishwasher,
56,ST26Q14,Possessions - <DVD>,
57,ST26Q15,Possessions - <Country item 1>,
58,ST26Q16,Possessions - <Country item 2>,
59,ST26Q17,Possessions - <Country item 3>,
60,ST27Q01,How many - cellular phones,
61,ST27Q02,How many - televisions,
62,ST27Q03,How many - computers,
63,ST27Q04,How many - cars,
64,ST27Q05,How many - rooms bath or shower,
65,ST28Q01,How many books at home,
66,ST29Q01,Math Interest - Enjoy Reading,
67,ST29Q02,Instrumental Motivation - Worthwhile for Work,
68,ST29Q03,Math Interest - Look Forward to Lessons,
69,ST29Q04,Math Interest - Enjoy Maths,
70,ST29Q05,Instrumental Motivation - Worthwhile for Career Chances,
71,ST29Q06,Math Interest - Interested,
72,ST29Q07,Instrumental Motivation - Important for Future Study,
73,ST29Q08,Instrumental Motivation - Helps to Get a Job,
74,ST35Q01,Subjective Norms -Friends Do Well in Mathematics,
75,ST35Q02,Subjective Norms -Friends Work Hard on Mathematics,
76,ST35Q03,Subjective Norms - Friends Enjoy Mathematics Tests,
77,ST35Q04,Subjective Norms - Parents Believe Studying Mathematics Is Important,
78,ST35Q05,Subjective Norms - Parents Believe Mathematics Is Important for Career,
79,ST35Q06,Subjective Norms - Parents Like Mathematics,
80,ST37Q01,Math Self-Efficacy - Using a <Train Timetable>,
